,Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
3558,APPLE INC.,AVT030,10/5/2023,2T2BGMCA5HC019432,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3559,APPLE INC.,AVT030,10/5/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3560,APPLE INC.,AVT030,10/5/2023,2T2BGMCA3HC014584,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3561,APPLE INC.,AVT030,10/5/2023,2T2BGMCA4HC016845,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3562,APPLE INC.,AVT030,10/5/2023,2T2BGMCA0HC020083,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3563,APPLE INC.,AVT030,10/5/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3564,APPLE INC.,AVT030,10/5/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3565,APPLE INC.,AVT030,10/5/2023,2T2BGMCA5HC019818,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3566,APPLE INC.,AVT030,10/5/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3567,APPLE INC.,AVT030,10/5/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3568,APPLE INC.,AVT030,10/6/2023,2T2BGMCAXHC020026,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3569,APPLE INC.,AVT030,10/6/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3570,APPLE INC.,AVT030,10/6/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3571,APPLE INC.,AVT030,10/6/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3572,APPLE INC.,AVT030,10/6/2023,2T2BGMCA4HC019826,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3573,APPLE INC.,AVT030,10/6/2023,2T2BGMCA8GC003823,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3574,APPLE INC.,AVT030,10/6/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3575,APPLE INC.,AVT030,10/6/2023,2T2BGMCA6GC007983,No,Yes,Test Driver,Interstate,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3576,APPLE INC.,AVT030,10/6/2023,2T2BGMCA7GC007068,No,Yes,Test Driver,Interstate,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3577,APPLE INC.,AVT030,10/6/2023,2T2BGMCA8HC020137,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3578,APPLE INC.,AVT030,10/6/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3579,APPLE INC.,AVT030,10/6/2023,2T2BGMCA2HC019338,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3580,APPLE INC.,AVT030,10/6/2023,2T2BGMCA7GC007068,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3581,APPLE INC.,AVT030,10/6/2023,2T2BGMCA7GC007068,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3582,APPLE INC.,AVT030,10/6/2023,2T2BGMCA7GC007068,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3583,APPLE INC.,AVT030,10/6/2023,2T2BGMCA9HC019532,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3584,APPLE INC.,AVT030,10/6/2023,2T2BGMCA7GC007068,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3585,APPLE INC.,AVT030,10/6/2023,2T2BGMCA4HC019826,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3586,APPLE INC.,AVT030,10/6/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3587,APPLE INC.,AVT030,10/9/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3588,APPLE INC.,AVT030,10/9/2023,2T2BGMCA0HC020083,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3589,APPLE INC.,AVT030,10/9/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3590,APPLE INC.,AVT030,10/9/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3591,APPLE INC.,AVT030,10/9/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3592,APPLE INC.,AVT030,10/9/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3593,APPLE INC.,AVT030,10/9/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3594,APPLE INC.,AVT030,10/10/2023,2T2BGMCA2HC012521,No,Yes,Test Driver,Freeway,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3595,APPLE INC.,AVT030,10/10/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Freeway,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3596,APPLE INC.,AVT030,10/10/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3597,APPLE INC.,AVT030,10/10/2023,2T2BGMCA8HC019540,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3598,APPLE INC.,AVT030,10/10/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3599,APPLE INC.,AVT030,10/10/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3600,APPLE INC.,AVT030,10/10/2023,2T2BGMCA8HC020137,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3601,APPLE INC.,AVT030,10/10/2023,2T2BGMCA8HC020137,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3602,APPLE INC.,AVT030,10/10/2023,2T2BGMCA0GC007946,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3603,APPLE INC.,AVT030,10/10/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3604,APPLE INC.,AVT030,10/10/2023,2T2BGMCA8GC003823,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3605,APPLE INC.,AVT030,10/10/2023,2T2BGMCA3GC007911,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3606,APPLE INC.,AVT030,10/10/2023,2T2BGMCA3GC007911,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3607,APPLE INC.,AVT030,10/10/2023,2T2BGMCA2HC019338,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3608,APPLE INC.,AVT030,10/11/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3609,APPLE INC.,AVT030,10/11/2023,2T2BGMCA5HC019432,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3610,APPLE INC.,AVT030,10/11/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3611,APPLE INC.,AVT030,10/11/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3612,APPLE INC.,AVT030,10/11/2023,2T2BGMCAXHC020026,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3613,APPLE INC.,AVT030,10/11/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3614,APPLE INC.,AVT030,10/11/2023,2T2BGMCAXHC020026,No,Yes,Test Driver,Interstate,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3615,APPLE INC.,AVT030,10/11/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3616,APPLE INC.,AVT030,10/11/2023,2T2BGMCA0HC019919,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3617,APPLE INC.,AVT030,10/12/2023,2T2BGMCA5HC019432,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3618,APPLE INC.,AVT030,10/12/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3619,APPLE INC.,AVT030,10/12/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3620,APPLE INC.,AVT030,10/12/2023,2T2BGMCA5HC019818,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3621,APPLE INC.,AVT030,10/12/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3622,APPLE INC.,AVT030,10/12/2023,2T2BGMCA4HC016912,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3623,APPLE INC.,AVT030,10/13/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3624,APPLE INC.,AVT030,10/13/2023,2T2BGMCA8HC019540,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3625,APPLE INC.,AVT030,10/16/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3626,APPLE INC.,AVT030,10/16/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3627,APPLE INC.,AVT030,10/16/2023,2T2BGMCA4HC016845,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3628,APPLE INC.,AVT030,10/16/2023,2T2BGMCA5HC014389,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3629,APPLE INC.,AVT030,10/17/2023,2T2BGMCA5HC014389,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3630,APPLE INC.,AVT030,10/17/2023,2T2BGMCAXHC019927,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
3631,APPLE INC.,AVT030,10/17/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3632,APPLE INC.,AVT030,10/17/2023,2T2BGMCA2HC019968,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3633,APPLE INC.,AVT030,10/17/2023,2T2BGMCA2HC019968,No,Yes,Test Driver,Interstate,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3634,APPLE INC.,AVT030,10/17/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Interstate,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3635,APPLE INC.,AVT030,10/18/2023,2T2BGMCAXHC018051,No,Yes,AV System,Freeway,The ADS initiated a disengagement쟡ue to a diagnosed issue with the motion plan. 쟕he Safety잻river was able to safely take control of the vehicle.
3636,APPLE INC.,AVT030,10/18/2023,2T2BGMCA4HC020118,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3637,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3638,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3639,APPLE INC.,AVT030,10/18/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3640,APPLE INC.,AVT030,10/18/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3641,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3642,APPLE INC.,AVT030,10/18/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3643,APPLE INC.,AVT030,10/18/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3644,APPLE INC.,AVT030,10/18/2023,2T2BGMCA2HC019968,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3645,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3646,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3647,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3648,APPLE INC.,AVT030,10/18/2023,2T2BGMCA8HC016136,No,Yes,Test Driver,Interstate,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3649,APPLE INC.,AVT030,10/18/2023,2T2BGMCA2HC019968,No,Yes,Test Driver,Interstate,"The ADS쟧ncorrectly perceived an element쟧n the surrounding environment, which resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3650,APPLE INC.,AVT030,10/19/2023,2T2BGMCA3GC007861,No,Yes,Test Driver,Freeway,"The ADS쟡eveloped a motion plan to remain stationary, requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3651,APPLE INC.,AVT030,10/19/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3652,APPLE INC.,AVT030,10/19/2023,2T2BGMCA9HC019126,No,Yes,Test Driver,Freeway,"The ADS incorrectly predicted the behavior of another road user,쟷hich resulted in a motion plan쟲equiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3653,APPLE INC.,AVT030,10/19/2023,2T2BGMCA3GC007861,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3654,APPLE INC.,AVT030,10/19/2023,2T2BGMCA2HC019338,No,Yes,Test Driver,Interstate,"The ADS generated a motion쟰lan that쟷ould have placed쟴he vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage. 쟕he Safety잻river was able to safely take control of the vehicle."
3655,APPLE INC.,AVT030,10/19/2023,2T2BGMCA4HC016845,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3656,APPLE INC.,AVT030,10/20/2023,2T2BGMCA4HC016845,No,Yes,Test Driver,Freeway,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3657,APPLE INC.,AVT030,10/20/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3658,APPLE INC.,AVT030,10/20/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3659,APPLE INC.,AVT030,10/20/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3660,APPLE INC.,AVT030,10/20/2023,2T2BGMCA2GC003882,No,Yes,AV System,Interstate,The ADS initiated a disengagement쟡ue to a diagnosed hardware issue. 쟕he Safety잻river was able to safely take control of the vehicle.
3661,APPLE INC.,AVT030,10/20/2023,2T2BGMCAXHC019927,No,Yes,Test Driver,Interstate,"The ADS쟡eveloped a motion plan to remain stationary, requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle."
3662,APPLE INC.,AVT030,10/20/2023,2T2BGMCA2HC019338,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
3663,APPLE INC.,AVT030,10/20/2023,2T2BGMCA4HC019826,No,Yes,Test Driver,Interstate,A discrepancy in the onboard map쟲esulted in a motion plan requiring disengagement by the Safety Driver. 쟕he Safety잻river was able to safely take control of the vehicle.
