,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
14441,BI,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14499,BI,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14451,BI,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14474,BI,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14446,BI,21,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14489,BI,22,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.,
14497,BI,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14492,BI,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14467,BI,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14511,BI,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14448,BI,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14469,BI,22,Safety Driver disengaged autonomous mode to re-center vehicle in lane. ,
14470,BI,22,Safety Driver disengaged autonomous mode due to cut-in issue.,
14428,BI,21,Safety Driver disengaged autonomous mode due to cut-in issue.,
14449,BI,22,Safety Driver disengaged autonomous mode due to issue with lane change maneuver.,
14522,BI,22,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
26398,DE,18,"Disengaged due to a vehicle unexpectedly cutting into our lane. Driving conditions were as follows: partially cloudy weather, light traffic, 2 Vehicle Operations Specialists in vehicle",
26399,DE,19,"Disengaged due to an unwanted behavior by vehicle while exiting highway. Driving conditions were as follows: sunny, light traffic, 2 Vehicle Operations Specialists in vehicle.",
19955,CN,20,"The car was performing a parking maneuver, when the driver had to take control, because the side wall was within 0.4 meters from the car. This event was caused by the error in object detection by ultrasonic sensor.",
19956,CN,20,"The car was performing a parking maneuver, when the driver had to take control, because the back wall was within 1.5 meter from the car rear bumper. This event was caused by the error in object detection by rear ultrasonic sensor.",
26644,CN,19,"The car was performing a parking maneuver, when the driver had to take control, because the back wall was within 2 meters from the car rear bumper. This event was caused by the error in parking lane detection by side video camera.",
26645,CN,19,"The car was performing a parking maneuver, when the driver had to take control, because the back wall was within 2 meters from the car rear bumper. This event was caused by the error in object detection by rear ultrasonic sensor.",
26646,CN,19,"The car was performing a parking maneuver, when the driver had to take control, because the side wall was within 0.5 meters from the car. This event was caused by the error in object detection by s ultrasonic sensor.",
26487,DG,19,"Planner discrepancy, ego vehicle's path was off to right for about 0.3m.",
26485,DG,19,"Perception discrepancy, perception had false detection caused ego vehicle did unnecessary nudge.",
26501,DG,19,"Controller discrepancy, ego vehicle moved left and exceeded lateral safe distance with other vehicle on the adjacent lane.",
26496,DG,19,"Planner discrepancy, ego vehicle was following too close to other vehicle in the front.",
26493,DG,19,"Planner discrepancy, ego vehicle's path was too close to a parked vehicle on the right side.",
26474,DG,19,"Prediction discrepancy, ego vehicle predicted a cut-in vehicle moving faster that it was.",
26486,DG,19,"Perception discrepancy, ego vehicle detected the lead vehicle a bit late.",
26471,DG,19,"Perception discrepancy, perception had false detection caused ego vehicle did unnecessary slowing down.",
26473,DG,19,"Planner discrepancy, ego vehicle was moving slow.",
26478,DG,19,"Perception discrepancy, perception module was not working properly.",
26483,DG,19,"Perception discrepancy, perception had false detection on a large truck on the adjacent lane, causing ego vehicle doing unnecessary slowing down.",
26467,DG,18,"Planner discrepancy, planner was at a lower than normal frequency.",
26502,DG,19,"Localization discrepancy, ego vehicle came to fully stop after localization became unstable.",
26498,DG,19,"Planner discrepancy, ego vehicle's path was too close to a parked vehicle on the right side.",
26482,DG,19,"Perception discrepancy, perception had false detection caused ego vehicle did unnecessary nudge.",
26503,DG,19,"Controller discrepancy, ego vehicle moved right and exceeded lateral safe distance with other vehicle on the adjacent lane.",
26484,DG,19,"Perception discrepancy, perception had false detection caused ego vehicle did unnecessary nudge.",
26464,DG,18,"Perception discrepancy, lost perception on traffic lights.",
26489,DG,19,"Prediction discrepancy, prediction for a crossing pedestrian was not accurate, caused ego vehicle constantly changing decision.",
26481,DG,19,"Perception discrepancy, perception had false detection caused ego vehicle did unnecessary nudge.",
17203,BJ,21,"Weather(Sunny): Front camera temporary loss, hardware issue",
17322,BJ,21,"Weather(Sunny): Traffic light stayed at red color when it was green, perception issue with front camera",
17261,BJ,21,"Weather(Sunny): Camera loss, takeover to pull over and restart the camera, sensor failure",
17255,BJ,21,"Weather(Cloudy): Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane, outise of ODD",
17273,BJ,21,"Weather(Sunny): Driver's safety decision to takeover because too much congested at right turn to traffic light, outside of ODD",
14567,BJ,22,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause ",
14552,BJ,22,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause ",
14554,BJ,22,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
17241,BJ,21,"Weather(Cloudy): Stop intersection: Driver's decision to takeover because a side vehicle was seen too late when it was its turn to go, and no ours",
17223,BJ,21,"Weather(Cloudy): Driver's decision to takeover because the front car was parked in the middle of the ego lane, outside of ODD",
17227,BJ,21,"Weather(Cloudy): Driver's decision to takeover because side vehicle detected in ego lane, outside of ODD",
17292,BJ,21,"Weather(Sunny): Car double parked, outside of ODD",
14546,BJ,22,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
14547,BJ,22,"Weather(Sunny), Daylight: Traffic light detected stayed at red color when it was green - Switch to green light not detected - Perception SW - Unknown Root cause ",
14580,BJ,22,"Weather(Sunny), Daylight: Safety Takeover because of Tailgater",
17356,BJ,21,"Weather(Rainy): Car parked on our lane, outside of ODD",
17285,BJ,21,"Weather(Sunny): Reckless driver didn't respect the order at stop intersection, driver's safety decision",
17295,BJ,21,"Weather(Sunny): Construction zone, outside of ODD",
17348,BJ,21,"Weather(Rainy): Ego-vehicle didn't take off at a stop when it was his turn, perception issue",
14595,BJ,22,"Weather(Sunny), Daylight: ODD - Car double parked on our lane - Test car not allowed to go over the double yellow lane marking",
30756,DN,19,Reckless driving road user that came from behind and cut in front of the autonomous vehicle.,
30760,DN,19,Incorrect behavior prediction of a bicyclist.,
30771,DN,19,Construction on the way.,
30752,DN,19,Perception error due to the occlusion on the corner.,
30761,DN,19,A perception discrepancy due to incoming sensor data error,
30768,DN,19,Stop for the emergency vehicle.,
30749,DN,19,Vehicle parameter issue on the right turn.  Making too much hard right on the corner.,
30755,DN,19,Construction on the way.,
30774,DN,19,Incorrect behavior prediction of a bicyclist.,
30750,DN,19,Incorrect behavior prediction of other participants on the unprotected left turn.,
30773,DN,19,Reckless driving road user that came from behind and cut in front of the autonomous vehicle.,
30763,DN,19,Actuating motor error due to initialization issue,
30765,DN,19,Stop for the emergency vehicle.,
30775,DN,19,Hardware connection dropping due to a bump,
30753,DN,19,Stop for the emergency vehicle.,
30754,DN,19,Reckless driving road user that came from behind and cut in front of the autonomous vehicle.,
30751,DN,19,Incorrect behavior prediction of other participants on the unprotected left turn.,
30770,DN,19,Incorrect behavior prediction of pedestrians on a crosswalk,
30758,DN,18,Construction on the way.,
30759,DN,19,Stop for the emergency vehicle.,
14265,BG,21,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14266,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14267,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14268,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14269,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14270,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
14271,BG,22,Test driver disengaged due to planning system choosing a trajectory that is too fast and aggressive.,
13257,AY,22,Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the planner failed to avoid the traffic cones).,
13258,AY,22,Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the planner failed to avoid the traffic cones).,
24267,CZ,19,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24539,CZ,19,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
25245,CZ,19,A software component was not initialized correctly. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24982,CZ,19,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24052,CZ,19,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24839,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24380,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24164,CZ,19,Invalid control unit operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
25266,CZ,19,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24629,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24511,CZ,19,Invalid control unit operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24502,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24050,CZ,19,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24501,CZ,19,System could not generate vehicle trajectory. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24941,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
23556,CZ,18,Quality of generated trajectory did not meet expectation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24483,CZ,19,Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24476,CZ,19,Driver pressed the accelerator pedal because the vehicle was driving slower than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
23806,CZ,19,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
24402,CZ,19,System generation of vehicle trajectory took longer than expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,
17721,BZ,19,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17732,BZ,19,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
21462,BZ,19,"Merge maneuver: risk to rear-end other vehicle, caused by wrong lane association",
17783,BZ,20,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
21443,BZ,19,"Lane change maneuver to the exit lane: risk of lane departure, caused by unstable trajectory planning",
17751,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17728,BZ,19,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17791,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
21440,BZ,19,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning",
17810,BZ,20,"The test vehicle's software recommended an incorrect lane change to the software operator. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
21450,BZ,19,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning",
17784,BZ,20,"During a lane change, the test vehicle oscillates from left to right in the lane. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17730,BZ,19,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
17737,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17793,BZ,20,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
17773,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17821,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17757,BZ,20,"The test vehicle's software recommended an incorrect lane to move into during an upcoming exit on the freeway. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17779,BZ,20,"The test vehicle makes a lane change at an inproper speed, e.g: slow acceleration. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
17743,BZ,20,"During a merge, the test vehicle failed to keep an appropriate distance between a merging car or the merging car failed to yield to us. 
Conditions: Non-inclement weather, dry roads, no other factors involved",
18157,CG,20,Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during dusk,
30556,CG,18,Hardware discrepancy or system fault; On city road in heavy traffic with clear sky during day,
18154,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during day,
18162,CG,20,Motion/Behaviour planning discrepancy; On city road in moderate traffic with clear sky during night,
30575,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with clear sky during day,
18153,CG,19,Perception discrepancy; On city road in moderate traffic in light rain during dusk,
30574,CG,19,Perception discrepancy; On city road in heavy traffic with clear sky during dusk,
30555,CG,18,Perception discrepancy; On city road in heavy traffic with cloudy sky during day,
18158,CG,20,Perception discrepancy; On city road in moderate traffic with cloudy sky during night,
30559,CG,18,Motion/Behaviour planning discrepancy; On city road in heavy traffic with cloudy sky during day,
30566,CG,19,Motion/Behaviour planning discrepancy; On city road in moderate traffic with light rain during day,
30554,CG,18,Perception discrepancy; On city road in light traffic with clear sky during dusk,
30572,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with clear sky during dusk,
30562,CG,19,Motion/Behaviour planning discrepancy; On city road in moderate traffic with clear sky during day,
18163,CG,20,Motion/Behaviour planning discrepancy; On city road in moderate traffic with cloudy sky during dusk,
30576,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with clear sky during day,
30573,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with clear sky during night,
30564,CG,19,Perception discrepancy; On city road in moderate traffic with clear sky during night,
30569,CG,19,Motion/Behaviour planning discrepancy; On city road in heavy traffic with clear sky during day,
18160,CG,20,Reckless Agent/Road User; Prediction discrepancy; On city road in heavy traffic with cloudy sky during dusk,
21421,CV,19,"Control issue: Input check failure, swerving issue when making turns",
21422,CV,19,"Pedestrian walking in parking lot among parking vehicles, precautionary takeover to address perception",
21423,CV,19,"Keep yielding to cut-in vehicle in traffic jam, takeover so that AV can pass along the road",
21424,CV,19,Precautionary takeover due to another vehicle's reckless driving behavior (over speed),
21425,CV,19,"Hardware Irregularity, - Onboard screen display is not active",
21426,CV,19,Planning Discrepancy: Vehicle merged poorly into lanes,
21427,CV,19,Precautionary takeover when crossing crosswalk in front of a supermarket,
21428,CV,19,"Hardware Irregularity, - Vehicle chasis error, AutoCruiseFallbackChecker execution issue",
21429,CV,19,System kickout: car release run SIGSEGV with positioning module,
21430,CV,19,Poor traffic light perception accuracy due to rainy weather conditions,
21431,CV,20,Precautionary takeover due to foggy weather condition,
21432,CV,20,Planning Discrepancy: Vehicle merged poorly in traffic jam,
21433,CV,20,"Control: Input check failure, chasis error",
21434,CV,20,Precautionary disengagement to avoid a reckless driver cutting through vehicle's lane,
21435,CV,20,"Hardware Irregularity, camera failed to display on onboard system",
21436,CV,20,Precautionary takeover in construction zone with workers on road shoulder,
15808,BP,21,Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the perception failed on traffic cones).,
21406,CS,19,Precautionary disengagement in response to the autonomous vehicle engaging in an undesired maneuver,
21407,CS,20,Precautionary disengagement in response to other road users inappropriate behavior,
16812,BV,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
17026,BV,21,Safety Driver disengaged autonomous mode due to inappropriate steering.,
16985,BV,21,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,
17067,BV,21,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
16912,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
16785,BV,21,Safety Driver disengaged autonomous mode to manually drive past pedestrians near the road.,
16964,BV,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
16821,BV,21,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to other road user or obstacle.,
17005,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
17106,BV,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
16947,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
16979,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
17015,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
16851,BV,21,Safety Driver disengaged autonomous mode due to cut-in issue.,
16794,BV,21,Safety Driver disengaged autonomous mode due to inappropriate steering.,
16694,BV,20,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
16727,BV,21,"Safety Driver disengaged autonomous mode due to inappropriate braking, caused by perception issue.",
16743,BV,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
16779,BV,21,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light,
16822,BV,21,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,
21508,CA,19,"Controls discrepancy, controls diagnostics indicated potential performance issue",
21512,CA,19,"Controls discrepancy, controls diagnostics indicated potential performance issue",
21498,CA,19,"Perception discrepancy, potential hardware performance issue",
17904,CA,20,Motion planning unable to produce valid trajectory,
17872,CA,20,Motion control health check caused software kickout,
21488,CA,19,"Localization discrepancy, potential hardware performance issue",
21505,CA,19,"Perception discrepancy, potential software performance issue",
21516,CA,19,"Planning discrepancy, system authorizing vehicle to operate outside of rate requirements",
21521,CA,19,"Perception discrepancy, incorrect detection of object",
17835,CA,19,Hardware diagnostic caused software kickout,
21483,CA,19,"Controls discrepancy, controls diagnostics indicated potential performance issue",
17848,CA,20,Motion control health check caused software kickout,
17839,CA,19,Hardware diagnostic caused software kickout,
17901,CA,20,Undesireable motion plan violating traffic signal ,
17845,CA,20,Motion control health check caused software kickout,
17851,CA,20,Hardware diagnostic caused software kickout,
17824,CA,19,Motion control health check caused software kickout,
17913,CA,20,Incorrect perception of traffic signal lead to undesirable motion plan,
21507,CA,19,"Controls discrepancy, controls diagnostics indicated potential performance issue",
17831,CA,19,Motion control health check caused software kickout,
17158,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: a car parked on the right edge of the vehicle's travel lane was not detected by the software processing the sensor data stream.",
17131,BW,21,"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",
17115,BW,20,"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",
17126,BW,20,"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system was aware of another vehicle that was going to cross its planned travel path (eg at an intersection or unprotected left), but did not appropriately adjust to the path crossing.",
17151,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",
17127,BW,20,"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system was aware of another vehicle that was going to cross its planned travel path (eg at an intersection or unprotected left), but did not appropriately adjust to the path crossing.",
17152,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",
17136,BW,21,"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",
17120,BW,20,"Daytime, clear weather, normal street traffic.  The map used for autonomy suffered from an error that caused the vehicle to navigate incorrectly; no other abnormalities with on-road behavior.",
17155,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",
17145,BW,21,"Daytime, clear weather, normal street traffic.  Safety driver inadvertently disengaged the autonomy system.",
17154,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",
17140,BW,21,"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system was aware of another vehicle that was going to cross its planned travel path (eg at an intersection or unprotected left), but did not appropriately adjust to the path crossing.",
17153,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: orange & white traffic cones sitting in the middle of the vehicle's travel lane were not detected by the software processing the sensor data stream.",
17116,BW,20,"Daytime, clear weather, normal street traffic.  Perception issue: a trash can sitting on the right edge of the vehicle's travel lane was not detected by the software processing the sensor data stream.",
17133,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: black & orange Road Work sign sitting in the middle of the vehicle's travel lane was not detected by the software processing the sensor data stream.",
17139,BW,21,"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",
17141,BW,21,"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system was aware of another vehicle that was going to cross its planned travel path (eg at an intersection or unprotected left), but did not appropriately adjust to the path crossing.",
17129,BW,21,"Daytime, clear weather, normal street traffic.  Vehicle drive-by-wire issue: the autonomy software asked for a driving action (steer or throttle/brake command) that the vehicle DBW system could not deliver.",
17134,BW,21,"Daytime, clear weather, normal street traffic.  Perception issue: black & orange Road Work sign sitting in the middle of the vehicle's travel lane was not detected by the software processing the sensor data stream.",
14985,BM,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14943,BM,21,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,
14968,BM,22,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
14994,BM,22,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue.",
14952,BM,22,Safety Driver disengaged autonomous mode due to cut-in issue.,
15000,BM,22,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue.",
14946,BM,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14997,BM,22,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
14971,BM,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
15001,BM,22,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
14964,BM,22,"Safety Driver disengaged autonomous mode due to inappropriate braking proposal, caused by perception issue.",
14987,BM,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14942,BM,21,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,
14990,BM,22,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
14992,BM,22,Safety Driver disengaged autonomous mode due to inappropriate steering.,
14953,BM,22,Safety Driver disengaged autonomous mode to ensure proper behavior at traffic light.,
14959,BM,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
14941,BM,21,Safety Driver disengaged autonomous mode due to inappropriate braking proposal.,
14944,BM,22,Safety Driver disengaged autonomous mode upon judging that vehicle was too close to road boundary.,
14969,BM,22,Safety Driver disengaged autonomous mode near crosswalk due to overly conservative vehicle behavior.,
15806,BO,21,Autonomous vehicle did not recognize traffic light accurately and stopped at a junction with green light. The safety driver took over the vehicle to avoid blocking the vehicle behind.,
15807,BO,21,Vehicle had an aggressive lane change right after leaving parking lot; the safety driver took over to avoid collision with the traffic.,
15237,AE,21,Hardware diagnostic caused software kickout,
3292,AE,23,A discrepancy in the onboard map resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.,
8585,AE,22,"The ADS generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
8103,AE,22,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
3606,AE,23,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
2421,AE,23,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
15227,AE,21,Incorrect prediction of vehicle caused undesirable motion plan,
11486,AE,22,"The ADS generated a motion plan that did not meet expectations of providing courtesy to other road users, leading the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
3404,AE,23,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
12667,AE,22,"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
1912,AE,23,The ADS initiated a disengagement due to a diagnosed issue with the motion plan.  The Safety Driver was able to safely take control of the vehicle.,
3795,AE,23,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
3664,AE,23,A discrepancy in the onboard map resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.,
2963,AE,23,The ADS initiated a disengagement due to a diagnosed hardware issue.  The Safety Driver was able to safely take control of the vehicle.,
2154,AE,23,"The ADS incorrectly predicted the behavior of another road user, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
8784,AE,22,"The ADS incorrectly perceived an element in the surrounding environment, which resulted in a motion plan requiring disengagement by the Safety Driver.  The Safety Driver was able to safely take control of the vehicle.",
8995,AE,22,"The ADS generated a motion plan that would have placed the vehicle in an incorrect location on the roadway, requiring the Safety Driver to disengage.  The Safety Driver was able to safely take control of the vehicle.",
